id,total_area,total_buildings,total_area_adm2,total_buildings_adm2
601,27251.320500000016,1136,2029721.9122000062,60235
2577,9577.157800000006,428,2899320.5089000068,71008
2578,9577.157800000006,428,2087560.6372999835,49791
3369,96444.17340000017,1473,5315387.529699943,88334
1872,9675.0004,274,3477389.9073999855,53308
10305,10575.397299999995,236,6063750.6400000695,130010
3541,890.1072999999999,43,3477389.9073999855,53308
9261,40614.44439999999,762,13275166.61959999,165410
9262,40614.44439999999,762,6063750.6400000695,130010
2727,86709.35240000009,1358,1983576.5136000086,32795
12918,22972.018500000002,778,4285445.744199992,88997
10074,23047.461999999978,261,3234132.847500009,52632
1620,37727.05380000002,634,4211450.142600003,85861
13194,9302.478199999998,286,3477111.754199985,85601
7991,1231.6032,59,6063750.6400000695,130010
9624,23916.792100000017,504,2035082.3115999976,32393
9625,23916.792100000017,504,5692150.617499987,76981
353,18477.685700000016,741,1490683.1229000106,48635
354,18477.685700000016,741,2029721.9122000062,60235
355,18477.685700000016,741,1939233.2433999968,69280
2914,843.1361,37,5496198.666799969,82377
12416,1436.1993999999995,62,2393371.7551000016,41959
9365,24598.226900000012,524,2035082.3115999976,32393
9366,24598.226900000012,524,5692150.617499987,76981
14294,20211.2366,340,5228787.03699996,102951
8772,17563.245700000007,208,3234132.847500009,52632
5666,46204.98579999997,770,4780709.333399998,78805
3512,4288.9344,170,4211450.142600003,85861
9519,51187.85440000002,842,13275166.61959999,165410
13083,12295.130100000004,264,5228787.03699996,102951
14186,7297.2090000000035,206,3477111.754199985,85601
7792,38831.585700000054,790,4133096.9898999697,66392
7793,38831.585700000054,790,4657818.107100053,85818
933,28712.760800000007,700,2334409.3442000058,50307
10295,67679.31420000001,971,13275166.61959999,165410
11381,15518.13609999999,338,5580689.679099988,66088
9011,1852.4542000000001,99,6063750.6400000695,130010
14182,37443.04349999999,768,3477111.754199985,85601
1985,39472.675899999995,550,9890180.899499815,179876
5955,6075.5127,196,11968283.436900381,179184
12957,11677.401899999997,185,2393371.7551000016,41959
1472,22394.7026,533,2899320.5089000068,71008
1473,22394.7026,533,2087560.6372999835,49791
10145,48428.07710000003,754,3901531.550699996,63528
10146,48428.07710000003,754,6112192.636499925,85381
7928,1712.161200000001,86,2677898.4160999767,49925
3033,9536.462999999996,222,9890180.899499815,179876
13464,4007.632599999998,140,3477111.754199985,85601
5121,30655.807999999997,430,3477389.9073999855,53308
7996,1013.0777000000003,52,3234132.847500009,52632
8468,3262.9093000000007,137,6063750.6400000695,130010
2100,8404.594899999998,160,4750814.667200039,84441
5883,17540.664300000008,319,4657818.107100053,85818
1181,6707.193200000001,268,2087560.6372999835,49791
2579,7615.876500000003,224,2899320.5089000068,71008
2580,7615.876500000003,224,2087560.6372999835,49791
3794,28649.247100000004,671,4709504.632400045,92056
1897,46003.948800000086,1009,4369659.935299989,71070
1898,46003.948800000086,1009,4750814.667200039,84441
5430,33527.102100000004,796,4496622.037400065,77870
5431,33527.102100000004,796,3490572.386799999,74863
13216,5835.159800000003,233,5228787.03699996,102951
8490,1852.3969999999995,80,6063750.6400000695,130010
12002,3136.1463000000012,68,5580689.679099988,66088
