id,admin2Pcod,ntl_mean,ntl_sd,ntl_max,ntl_min,ntl_mean_adm2,ntl_sd_adm2,ntl_max_adm2,ntl_min_adm2
3798,BJ1205,0.22527258564672625,0.10300158667450231,0.4540289711314986,-0.00797861957384093,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3799,BJ1205,0.22726680121248957,0.10644084376392142,0.4589656629760635,8.658768339465083e-4,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3800,BJ1205,0.22705453708870738,0.09979124188103713,0.45600346387480295,0.01062144465028557,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3801,BJ1205,0.2284061210607294,0.10927542414776002,0.4530435218216962,-0.01393729721477197,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3802,BJ1205,0.23683009026172067,0.11116509577049684,0.5077457069023226,0.00847425720561931,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3803,BJ1205,0.23900995718505672,0.11859019398002153,0.5868212205550135,0.00168304116731857,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3804,BJ1205,0.23433587834075767,0.10680008317808944,0.4452721794667844,0.00356356716501337,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3805,BJ1205,0.22873744741914734,0.11307991532003125,0.4355467085035131,0.01000394038564883,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3806,BJ1205,0.23731971888049422,0.1251042260850989,0.5413552908388314,0.01792042808694373,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3807,BJ1205,0.24173056258687364,0.11287482516961254,0.5127209332765823,0.02069946809655897,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3808,BJ1205,0.23885275621887808,0.12846931121699548,0.6243946482069349,0.00220113487811486,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3809,BJ1205,0.23131137021312181,0.11929712221749372,0.4944458575123849,2.4772100928985497e-4,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3810,BJ1205,0.22877250107817243,0.1070808588515062,0.4257015905162662,0.00941287066431964,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3811,BJ1205,0.23508863601170085,0.12614599971103457,0.6064781935267081,0.01595158510523358,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3812,BJ1205,0.24984527557533992,0.12782832507457367,0.6389475357483264,0.02227978669665212,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3813,BJ1205,0.2463762902848874,0.13092311045356114,0.608045548451712,0.01460661947844236,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3814,BJ1205,0.24757553174427224,0.13217975988090694,0.6550367918555946,0.00886255267336442,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3816,BJ1205,0.244047242753179,0.14668628246091847,0.7250380921950937,8.546742905389809e-4,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
