id,hcho,hcho_adm2
7402,8.030592601728696e-5,9.115975985428546e-5
7403,8.33945548414102e-5,9.115975985428546e-5
7404,8.806464195482681e-5,9.115975985428546e-5
7405,9.169098085210552e-5,9.115975985428546e-5
7406,9.18178292634709e-5,9.115975985428546e-5
7407,8.845123305716849e-5,9.115975985428546e-5
7408,9.054693081121514e-5,9.115975985428546e-5
7409,9.488085016787655e-5,9.115975985428546e-5
7410,9.799226995629363e-5,9.115975985428546e-5
7411,9.094702722720745e-5,9.115975985428546e-5
7412,8.752130889817575e-5,9.115975985428546e-5
7413,8.971711184531205e-5,9.115975985428546e-5
7414,9.162371435297013e-5,9.115975985428546e-5
7415,8.75189687541928e-5,9.115975985428546e-5
7416,8.67189689240926e-5,9.115975985428546e-5
7417,9.004835006795314e-5,9.115975985428546e-5
7418,9.803492290981461e-5,9.115975985428546e-5
7419,1.0108490833517901e-4,9.115975985428546e-5
7420,1.0060435972341252e-4,9.115975985428546e-5
7421,9.771791343235784e-5,9.115975985428546e-5
7422,9.756996921634629e-5,9.115975985428546e-5
7423,1.0046248703575171e-4,9.115975985428546e-5
7424,9.916076437329042e-5,9.115975985428546e-5
7426,9.763550689009936e-5,9.115975985428546e-5
7630,8.432052490942932e-5,9.115975985428546e-5
7632,8.909993385913958e-5,9.115975985428546e-5
7634,8.45698127685332e-5,9.115975985428546e-5
7635,8.070077662122299e-5,9.115975985428546e-5
7636,7.95870004824871e-5,9.115975985428546e-5
7637,8.437849743069422e-5,9.115975985428546e-5
7638,8.508924007432702e-5,9.115975985428546e-5
7639,8.903985242142751e-5,9.115975985428546e-5
7640,9.135338234250999e-5,9.115975985428546e-5
7641,8.713223308622746e-5,9.115975985428546e-5
7642,8.985947227179777e-5,9.115975985428546e-5
7643,9.030539730476957e-5,9.115975985428546e-5
7644,9.449954037055397e-5,9.115975985428546e-5
7645,9.52924005291407e-5,9.115975985428546e-5
7646,9.287140437008519e-5,9.115975985428546e-5
7647,9.282782859881899e-5,9.115975985428546e-5
7648,8.940245119202041e-5,9.115975985428546e-5
7649,8.624760692341345e-5,9.115975985428546e-5
7650,8.676418678618022e-5,9.115975985428546e-5
7651,9.154484036700322e-5,9.115975985428546e-5
7652,9.979653198026066e-5,9.115975985428546e-5
7653,1.0011852930535778e-4,9.115975985428546e-5
7654,9.724286109847982e-5,9.115975985428546e-5
7655,9.368011005934396e-5,9.115975985428546e-5
7656,9.47269524862509e-5,9.115975985428546e-5
7657,9.538961955421383e-5,9.115975985428546e-5
7658,9.184938741132623e-5,9.115975985428546e-5
7659,8.933845909345454e-5,9.115975985428546e-5
7877,8.715980742748262e-5,9.115975985428546e-5
7879,8.679504829073072e-5,9.115975985428546e-5
7880,8.68014978438068e-5,9.115975985428546e-5
7881,8.493808365165217e-5,9.115975985428546e-5
7882,8.471425284874939e-5,9.115975985428546e-5
7883,8.582426661378047e-5,9.115975985428546e-5
7884,8.474831258042015e-5,9.115975985428546e-5
7885,8.533011808252088e-5,9.115975985428546e-5
7886,8.289812979214505e-5,9.115975985428546e-5
7887,8.919908604726186e-5,9.115975985428546e-5
7888,9.273965050333641e-5,9.115975985428546e-5
7889,9.469449959261379e-5,9.115975985428546e-5
7890,9.369694775526226e-5,9.115975985428546e-5
7891,8.991604241582531e-5,9.115975985428546e-5
7892,8.550183033556951e-5,9.115975985428546e-5
7893,8.66584667792568e-5,9.115975985428546e-5
7894,8.539038107032218e-5,9.115975985428546e-5
7895,8.477746953531721e-5,9.115975985428546e-5
7896,8.544525264317848e-5,9.115975985428546e-5
7897,9.171214059460115e-5,9.115975985428546e-5
7898,9.454973022839313e-5,9.115975985428546e-5
7899,9.11569897096582e-5,9.115975985428546e-5
7900,9.034394151247081e-5,9.115975985428546e-5
7901,9.403492884635052e-5,9.115975985428546e-5
7902,9.236409261673199e-5,9.115975985428546e-5
7903,8.992705698560406e-5,9.115975985428546e-5
7905,9.113294183061652e-5,9.115975985428546e-5
8123,8.52807045417016e-5,9.115975985428546e-5
8125,8.582235618074262e-5,9.115975985428546e-5
8127,9.022211758147298e-5,9.115975985428546e-5
8128,8.844167168924223e-5,9.115975985428546e-5
8129,8.267974911693955e-5,9.115975985428546e-5
8130,8.37356878388812e-5,9.115975985428546e-5
8131,8.99799562638153e-5,9.115975985428546e-5
8132,8.540134407658938e-5,9.115975985428546e-5
8133,8.041537871929786e-5,9.115975985428546e-5
8134,7.883928630581178e-5,9.115975985428546e-5
8135,8.543167645806921e-5,9.115975985428546e-5
8136,9.385384726167463e-5,9.115975985428546e-5
8137,9.807149744862953e-5,9.115975985428546e-5
8138,9.243885338835328e-5,9.115975985428546e-5
8139,8.876216380935814e-5,9.115975985428546e-5
8140,8.484024305638587e-5,9.115975985428546e-5
8141,8.504547761135195e-5,9.115975985428546e-5
8142,8.941133155845608e-5,9.115975985428546e-5
8143,8.768986691796507e-5,9.115975985428546e-5
8144,8.367655707805551e-5,9.115975985428546e-5
8145,8.421558104603725e-5,9.115975985428546e-5
8146,8.839706361576855e-5,9.115975985428546e-5
8147,9.191901955048234e-5,9.115975985428546e-5
8148,9.365284850388922e-5,9.115975985428546e-5
