id,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,distance9,distance10
13583,1274013.2326268093,1274013.1838183873,1274013.0293681521,1274010.428660793,1274010.4770577722,1274012.631213856,1274013.3731390256,1274008.6597607897,1274013.2700338755,1274010.0486567891
13584,1274013.2326268093,1274013.1838183873,1274013.0293681521,1274010.428660793,1274010.4770577722,1274012.631213856,1274013.3731390256,1274008.6597607897,1274013.2700338755,1274010.0486567891
13585,1274013.2326268093,1274013.1838183873,1274013.0293681521,1274010.428660793,1274010.4770577722,1274012.631213856,1274013.3731390256,1274008.6597607897,1274013.2700338755,1274010.0486567891
13586,1271267.5926326497,1271267.543934503,1271267.3892651442,1271264.7896435491,1271264.8390212688,1271266.9918610537,1271267.733456363,1271263.0211633167,1271267.6307763085,1271264.4110963205
13587,1271267.5926326497,1271267.543934503,1271267.3892651442,1271264.7896435491,1271264.8390212688,1271266.9918610537,1271267.733456363,1271263.0211633167,1271267.6307763085,1271264.4110963205
13588,1268523.1047355079,1268523.0561481584,1268522.901258868,1268520.3027300972,1268520.3530927568,1268522.5046085909,1268523.2458719383,1268518.5346730584,1268523.1436189127,1268519.925646292
13589,1265779.7764293805,1265779.7279533527,1265779.5728433193,1265776.975414491,1265777.026766315,1265779.176950487,1265779.9178797547,1265775.2077841007,1265779.8160557027,1265776.5998008
13590,1263037.6152701916,1263037.566906014,1263037.4115744221,1263034.8152527139,1263034.8675979506,1263037.0164426903,1263037.757035742,1263033.0480524583,1263037.6556426212,1263034.4411158685
13591,1260296.6288763976,1260296.5806246018,1260296.4250706322,1260293.8298632812,1260293.8832062038,1260296.0307036806,1260296.7709583635,1260292.063096679,1260296.669998143,1260293.4572100556
13592,1257556.8249295983,1257556.7767907197,1257556.6210135494,1257554.0269278523,1257554.0812727588,1257556.2274150816,1257556.9673292253,1257552.2605984546,1257556.8668038866,1257553.655765063
13593,1254818.2111751537,1254818.1631497305,1254818.007148533,1254815.4141918472,1254815.469543061,1254817.6143222777,1254818.3538936933,1254813.6483032384,1254818.2538052306,1254815.0445263535
13594,1252080.7954228083,1252080.7475113831,1252080.5912853277,1252077.999465072,1252078.055826941,1252080.1992350381,1252080.938461519,1252076.2340208695,1252080.838811939,1252077.631303776
13595,1249344.585547323,1249344.5377504413,1249344.3812986938,1249341.790622349,1249341.8479992466,1249343.9900281478,1249344.7289074694,1249340.0256262037,1249344.6296987906,1249341.423972196
13596,1246609.589489112,1246609.541807323,1246609.385129045,1246606.795604154,1246606.8540004794,1246608.994642046,1246609.7331719652,1246605.0310597513,1246609.6344062195,1246606.4304721334
13597,1243875.815254888,1243875.7676887447,1243875.6107830943,1243873.0224172631,1243873.0818374406,1243875.2210834706,1243875.9592617257,1243871.258328322,1243875.8609409577,1243872.6588104083
13598,1241143.2709183143,1241143.223468373,1241143.0663345044,1241140.4791354027,1241140.539583883,1241142.6774261098,1241143.4152504206,1241138.7155056777,1241143.3173766872,1241140.1170607912
13599,1238411.9646206638,1238411.9172874847,1238411.759924548,1238409.17389991,1238409.2353811695,1238411.3718112623,1238412.1092793297,1238407.4107331897,1238412.0118547012,1238408.8133646636
13600,1235681.904571485,1235681.8573556317,1235681.699762773,1235679.1149203978,1235679.177438939,1235681.312448502,1235682.0495580076,1235677.352220507,1235681.9525845672,1235678.755931684
13601,1232953.0990492755,1232953.0519513157,1232952.8941276774,1232950.3104754293,1232950.374035781,1232952.5076163528,1232953.244364959,1232948.5482462288,1232953.1478448028,1232949.9530404608
