id,admin2Pcod,population,population_adm2
173,BJ0205,377.1764221191406,148473.9669175148
174,BJ0205,411.0470886230469,148473.9669175148
175,BJ0205,894.4246826171875,148473.9669175148
176,BJ0205,1005.6187133789062,148473.9669175148
177,BJ0205,1903.458984375,148473.9669175148
178,BJ0205,464.5047912597656,148473.9669175148
179,BJ0205,624.8033447265625,148473.9669175148
180,BJ0205,1021.8992309570312,148473.9669175148
181,BJ0205,403.21917724609375,148473.9669175148
182,BJ0205,846.30255126953125,148473.9669175148
183,BJ0205,1006.6657104492188,148473.9669175148
184,BJ0205,633.79913330078125,148473.9669175148
185,BJ0205,393.7414245605469,148473.9669175148
186,BJ0203,1305.6705322265625,85597.32812160254
187,BJ0205,1305.6705322265625,148473.9669175148
188,BJ0203,468.52362060546875,85597.32812160254
189,BJ0203,207.0830535888672,85597.32812160254
190,BJ0203,1062.83984375,85597.32812160254
191,BJ0203,464.1863708496094,85597.32812160254
192,BJ0203,1299.2303466796875,85597.32812160254
193,BJ0203,1041.500732421875,85597.32812160254
194,BJ0203,602.322265625,85597.32812160254
195,BJ0201,602.322265625,93779.27038025856
196,BJ0203,1013.5399169921875,85597.32812160254
197,BJ0201,1013.5399169921875,93779.27038025856
198,BJ0203,1556.6820068359375,85597.32812160254
199,BJ0201,1556.6820068359375,93779.27038025856
200,BJ0201,867.26458740234375,93779.27038025856
201,BJ0201,1057.773681640625,93779.27038025856
202,BJ0201,1221.915771484375,93779.27038025856
203,BJ0201,8.219876289367676,93779.27038025856
204,BJ0205,0,148473.9669175148
205,BJ0205,0,148473.9669175148
206,BJ0205,0,148473.9669175148
207,BJ0205,1755.979248046875,148473.9669175148
208,BJ0205,529.07110595703125,148473.9669175148
209,BJ0205,264.2627258300781,148473.9669175148
210,BJ0205,445.09014892578125,148473.9669175148
211,BJ0205,2648.13037109375,148473.9669175148
212,BJ0205,903.15081787109375,148473.9669175148
213,BJ0205,1490.954833984375,148473.9669175148
214,BJ0205,1564.4736328125,148473.9669175148
215,BJ0205,1068.8602294921875,148473.9669175148
216,BJ0205,1184.825927734375,148473.9669175148
217,BJ0205,2324.855224609375,148473.9669175148
218,BJ0205,484.243408203125,148473.9669175148
219,BJ0205,643.72613525390625,148473.9669175148
220,BJ0205,284.4008483886719,148473.9669175148
221,BJ0205,471.90264892578125,148473.9669175148
222,BJ0205,1332.3389892578125,148473.9669175148
223,BJ0203,1530.3890380859375,85597.32812160254
224,BJ0205,1530.3890380859375,148473.9669175148
225,BJ0203,1447.7149658203125,85597.32812160254
226,BJ0205,1447.7149658203125,148473.9669175148
227,BJ0203,1140.517333984375,85597.32812160254
228,BJ0203,6855.98193359375,85597.32812160254
229,BJ0203,1132.9808349609375,85597.32812160254
230,BJ0203,1185.7918701171875,85597.32812160254
231,BJ0201,1185.7918701171875,93779.27038025856
232,BJ0203,689.026123046875,85597.32812160254
233,BJ0201,689.026123046875,93779.27038025856
234,BJ0203,378.8978576660156,85597.32812160254
235,BJ0201,378.8978576660156,93779.27038025856
