id,precip_year,admin2Pcod,precip_2018,precip_2018_sd,precip_2018_adm2,precip_2018_sd_adm2,precip_year_adm2
1286,1214.1333333333334,BJ0704,1327,115.97885256556147,1358.7131221672544,33.02166969670862,122817.86191877228
1288,1220.4444444444443,BJ0704,1335,116.51072911968237,1358.7131221672544,33.02166969670862,122817.86191877228
1290,1244.5555555555557,BJ0704,1365,118.16254213428367,1358.7131221672544,33.02166969670862,122817.86191877228
1291,1242.088888888889,BJ0704,1363.2,117.77216834364405,1358.7131221672544,33.02166969670862,122817.86191877228
1292,1240.4444444444443,BJ0704,1362,117.51556956807507,1358.7131221672544,33.02166969670862,122817.86191877228
1293,1230.2222222222222,BJ0704,1351,116.34467470981787,1358.7131221672544,33.02166969670862,122817.86191877228
1294,1242.0683760683762,BJ0704,1365.1346153846152,116.77124056723198,1358.7131221672544,33.02166969670862,122817.86191877228
1295,1259.5555555555557,BJ0704,1386,117.41031393443176,1358.7131221672544,33.02166969670862,122817.86191877228
1296,1278,BJ0704,1408,118.36486989070036,1358.7131221672544,33.02166969670862,122817.86191877228
1297,1270.4615384615383,BJ0704,1401.5384615384614,117.91492564090791,1358.7131221672544,33.02166969670862,122817.86191877228
1299,1259.3333333333333,BJ0704,1392,117.25419162889425,1358.7131221672544,33.02166969670862,122817.86191877228
1301,1251.5299145299145,BJ0704,1385.6153846153848,117.03807225544573,1358.7131221672544,33.02166969670862,122817.86191877228
1389,1235.8799999999999,BJ0704,1356.68,118.30753202283165,1358.7131221672544,33.02166969670862,122817.86191877228
1391,1236.3205128205127,BJ0704,1357.9134615384617,117.67436635226993,1358.7131221672544,33.02166969670862,122817.86191877228
1393,1236.594017094017,BJ0704,1358.730769230769,117.24649723148926,1358.7131221672544,33.02166969670862,122817.86191877228
1394,1230.1495726495725,BJ0704,1352.9615384615386,116.76398987927077,1358.7131221672544,33.02166969670862,122817.86191877228
1395,1241.533980582524,BJ0704,1366.6504854368932,117.26035763666023,1358.7131221672544,33.02166969670862,122817.86191877228
1396,1258.744,BJ0704,1387.328,118.01551751692605,1358.7131221672544,33.02166969670862,122817.86191877228
1397,1266.0576923076924,BJ0704,1398.7115384615386,118.2558698059734,1358.7131221672544,33.02166969670862,122817.86191877228
1399,1262.5652642934197,BJ0704,1395.9223300970873,118.06868525444405,1358.7131221672544,33.02166969670862,122817.86191877228
1401,1257.6880341880342,BJ0704,1392,117.78548319340013,1358.7131221672544,33.02166969670862,122817.86191877228
1489,1235.5555555555557,BJ0704,1358.25,117.20011901754738,1358.7131221672544,33.02166969670862,122817.86191877228
1490,1232.013888888889,BJ0704,1356.375,117.13808048866169,1358.7131221672544,33.02166969670862,122817.86191877228
1492,1242.0258899676378,BJ0704,1368.6699029126216,117.62276466517326,1358.7131221672544,33.02166969670862,122817.86191877228
1494,1256.928,BJ0704,1387.048,118.35718009278168,1358.7131221672544,33.02166969670862,122817.86191877228
1496,1257.772435897436,BJ0704,1392.125,118.19623589255195,1358.7131221672544,33.02166969670862,122817.86191877228
1499,1256.091693635383,BJ0704,1390.9029126213593,118.09348724986742,1358.7131221672544,33.02166969670862,122817.86191877228
1600,1242.5555555555557,BJ0704,1367,117.85619768740773,1358.7131221672544,33.02166969670862,122817.86191877228
1602,1245.3333333333333,BJ0704,1373,118.1989527205822,1358.7131221672544,33.02166969670862,122817.86191877228
1604,1246.3846153846155,BJ0704,1376.1538461538462,118.34474785969397,1358.7131221672544,33.02166969670862,122817.86191877228
1714,1237.3728632478633,BJ0704,1363.971153846154,118.08078493165974,1358.7131221672544,33.02166969670862,122817.86191877228
1716,1233.9583333333335,BJ0704,1362.701923076923,117.74299032817915,1358.7131221672544,33.02166969670862,122817.86191877228
1750,1068.6245954692556,BJ0901,1083.2233009708734,63.85141610860795,1098.8750228860185,12.10925122381078,43523.7727051375
1752,1074.6917562724013,BJ0901,1088,63.672642390254296,1098.8750228860185,12.10925122381078,43523.7727051375
1753,1068.0576923076924,BJ0901,1080.423076923077,63.3858500930673,1098.8750228860185,12.10925122381078,43523.7727051375
1900,1068.090413943355,BJ0901,1083.4803921568628,63.86188139075282,1098.8750228860185,12.10925122381078,43523.7727051375
1902,1072.3010752688172,BJ0901,1086.6693548387095,63.77491884437211,1098.8750228860185,12.10925122381078,43523.7727051375
1903,1068.7464940668824,BJ0901,1080.893203883495,63.380295428259046,1098.8750228860185,12.10925122381078,43523.7727051375
1904,1075.2418300653594,BJ0901,1085.8431372549016,63.57424906680634,1098.8750228860185,12.10925122381078,43523.7727051375
2104,1067.393743257821,BJ0901,1083.7961165048546,63.899188893463815,1098.8750228860185,12.10925122381078,43523.7727051375
2106,1069.3333333333333,BJ0901,1085,63.932433557671345,1098.8750228860185,12.10925122381078,43523.7727051375
2107,1070.2222222222222,BJ0901,1082,63.42043452351549,1098.8750228860185,12.10925122381078,43523.7727051375
2108,1078.3603020496225,BJ0901,1088.7669902912621,63.73798462172385,1098.8750228860185,12.10925122381078,43523.7727051375
2306,1069.7320261437908,BJ0901,1087.049019607843,63.99822883883537,1098.8750228860185,12.10925122381078,43523.7727051375
