id,so2,so2_adm2
9963,1.66292194168859e-5,4.704222491789845e-6
9964,2.681427910521542e-5,4.704222491789845e-6
9965,2.0360607324099883e-5,4.704222491789845e-6
9967,6.586873834618011e-7,4.704222491789845e-6
10202,1.2584338629685895e-5,4.704222491789845e-6
10204,-2.0505338317436383e-6,4.704222491789845e-6
10205,3.4328840537851193e-6,4.704222491789845e-6
10206,3.4092503113428632e-6,4.704222491789845e-6
10207,3.6733236358280098e-6,4.704222491789845e-6
10208,1.9949616448661534e-5,4.704222491789845e-6
10209,3.5595638954578965e-5,4.704222491789845e-6
10210,1.4467868947845948e-5,4.704222491789845e-6
10211,-1.0357164668598599e-5,4.704222491789845e-6
10212,-2.630619868893917e-5,4.704222491789845e-6
10213,-1.5898163621572613e-6,4.704222491789845e-6
10214,1.9003615981948474e-05,4.704222491789845e-6
10215,9.915100902183079e-6,4.704222491789845e-6
10216,1.2425051612731135e-5,4.704222491789845e-6
10217,1.6916620037927328e-5,4.704222491789845e-6
10218,2.0300721902406423e-5,4.704222491789845e-6
10219,1.4518373662723522e-5,4.704222491789845e-6
10221,-7.681805397543186e-6,4.704222491789845e-6
10448,-4.822026285361947e-7,4.704222491789845e-6
10450,-1.053112957931991e-5,4.704222491789845e-6
10452,2.137234332716598e-6,4.704222491789845e-6
10454,6.64122388106654e-6,4.704222491789845e-6
10456,1.851220291976531e-5,4.704222491789845e-6
10458,1.6561994000870643e-5,4.704222491789845e-6
10459,2.220215456465798e-5,4.704222491789845e-6
10460,2.6716154132920795e-5,4.704222491789845e-6
10461,1.3773854296191233e-5,4.704222491789845e-6
10462,-3.5413280365737114e-6,4.704222491789845e-6
10463,-1.0312334005898703e-5,4.704222491789845e-6
10464,1.1824053576378056e-5,4.704222491789845e-6
10465,2.9514251096987006e-5,4.704222491789845e-6
10466,1.673776918265478e-5,4.704222491789845e-6
10467,4.604942693034589e-6,4.704222491789845e-6
10468,3.18411376848428e-7,4.704222491789845e-6
10469,2.4258322783147758e-6,4.704222491789845e-6
10471,-6.034488727643314e-6,4.704222491789845e-6
10710,2.0959935452070752e-5,4.704222491789845e-6
10713,2.68179087942013e-5,4.704222491789845e-6
