hhid,grappe,menage,vague,hhweight,hhsize,lat,lon,insecure
14043,14,43,1,173.84314721997674,8,10.6761548,2.6700515,1
14051,14,51,1,173.84314721997674,5,10.6761548,2.6700515,1
14060,14,60,1,173.84314721997674,6,10.6761548,2.6700515,0
14069,14,69,1,173.84314721997674,3,10.6761548,2.6700515,0
14077,14,77,1,173.84314721997674,7,10.6761548,2.6700515,0
14086,14,86,1,173.84314721997674,11,10.6761548,2.6700515,0
14095,14,95,1,173.84314721997674,7,10.6761548,2.6700515,1
14103,14,103,1,173.84314721997674,4,10.6761548,2.6700515,0
15030,15,30,2,499.38571737665023,5,10.8056856,2.8929139,1
15045,15,45,2,499.38571737665023,4,10.8056856,2.8929139,1
15061,15,61,2,499.38571737665023,5,10.8056856,2.8929139,1
15091,15,91,2,499.38571737665023,7,10.8056856,2.8929139,0
15107,15,107,2,499.38571737665023,3,10.8056856,2.8929139,1
15122,15,122,2,499.38571737665023,7,10.8056856,2.8929139,1
15153,15,153,2,499.38571737665023,11,10.8056856,2.8929139,1
15168,15,168,2,499.38571737665023,11,10.8056856,2.8929139,1
15184,15,184,2,499.38571737665023,9,10.8056856,2.8929139,1
15214,15,214,2,499.38571737665023,4,10.8056856,2.8929139,1
15230,15,230,2,499.38571737665023,6,10.8056856,2.8929139,0
15245,15,245,2,499.38571737665023,4,10.8056856,2.8929139,0
16003,16,3,1,566.0165552191294,5,11.3302405457944,2.99297595396638,1
16014,16,14,1,566.0165552191294,3,11.3302405457944,2.99297595396638,0
16026,16,26,1,566.0165552191294,4,11.3302405457944,2.99297595396638,0
16037,16,37,1,566.0165552191294,5,11.3302405457944,2.99297595396638,1
16049,16,49,1,566.0165552191294,8,11.3302405457944,2.99297595396638,0
16060,16,60,1,566.0165552191294,4,11.3302405457944,2.99297595396638,1
16072,16,72,1,566.0165552191294,6,11.3302405457944,2.99297595396638,1
16083,16,83,1,566.0165552191294,5,11.3302405457944,2.99297595396638,0
16095,16,95,1,566.0165552191294,8,11.3302405457944,2.99297595396638,0
